Entity,Code,Year,milexgdp
Germany,DEU,1922,3.3634927
Germany,DEU,1923,4.9913335
Germany,DEU,1924,10.268673
Germany,DEU,1925,5.2462406
Germany,DEU,1926,4.01908
Germany,DEU,1927,7.3226266
Germany,DEU,1928,4.456538
Germany,DEU,1929,7.04797
Germany,DEU,1930,7.0696073
Germany,DEU,1931,7.813847
Germany,DEU,1932,7.7558293
Germany,DEU,1933,12.7158985
Germany,DEU,1934,23.810282
Germany,DEU,1935,25.301716
Germany,DEU,1936,25.416405
Germany,DEU,1937,36.910625
Germany,DEU,1955,1.5510557
Germany,DEU,1956,1.7344514
Germany,DEU,1957,1.8440442
Germany,DEU,1958,1.5870905
Germany,DEU,1959,1.7976856
Germany,DEU,1960,1.8972774
Germany,DEU,1961,2.3420236
Germany,DEU,1962,2.6919005
Germany,DEU,1963,3.05778
Germany,DEU,1964,2.7821286
Germany,DEU,1965,2.5607262
Germany,DEU,1966,2.4282799
Germany,DEU,1967,2.7319386
Germany,DEU,1968,2.4663563
Germany,DEU,1969,2.4815698
Germany,DEU,1970,2.5850587
Germany,DEU,1971,2.455343
Germany,DEU,1972,2.465663
Germany,DEU,1973,2.7761736
Germany,DEU,1974,3.0459409
Germany,DEU,1975,3.2589781
Germany,DEU,1976,3.1396027
Germany,DEU,1977,3.1559625
Germany,DEU,1978,3.1179347
Germany,DEU,1979,3.030702
Germany,DEU,1980,3.0409229
Germany,DEU,1981,2.7978117
Germany,DEU,1982,2.7717946
Germany,DEU,1983,2.3415995
Germany,DEU,1984,2.512762
Germany,DEU,1985,2.3501942
Germany,DEU,1986,2.7525897
Germany,DEU,1987,3.0255492
Germany,DEU,1988,2.7014718
Germany,DEU,1989,2.3619664
Germany,DEU,1990,2.5169053
Germany,DEU,1991,2.0202305
Germany,DEU,1992,2.2896163
Germany,DEU,1993,2.1546977
Germany,DEU,1994,2.0459461
Germany,DEU,1995,2.1995401
Germany,DEU,1996,1.778785
Germany,DEU,1997,1.6108265
Germany,DEU,1998,1.4858636
Germany,DEU,1999,1.3845211
Germany,DEU,2000,1.2920374
Germany,DEU,2001,1.207464
Germany,DEU,2002,1.3035679
Germany,DEU,2003,1.3222543
Germany,DEU,2004,1.3366952
Germany,DEU,2005,1.0958506
Germany,DEU,2006,1.399651
Germany,DEU,2007,1.461813
Germany,DEU,2008,1.5465536
Germany,DEU,2009,1.418075
Germany,DEU,2010,1.4801358
Germany,DEU,2011,1.1611158
Germany,DEU,2012,1.3457068
Germany,DEU,2013,1.3544849
Germany,DEU,2014,1.2808146
Germany,DEU,2015,1.1535962
Germany,DEU,2016,1.1186873
Germany,DEU,2017,1.1171491
Germany,DEU,2018,1.0945071
Germany,DEU,2019,1.3488542
India,IND,1947,1.511039
India,IND,1948,1.9061933
India,IND,1949,3.6852279
India,IND,1950,3.1410666
India,IND,1951,2.7182262
India,IND,1952,2.8013911
India,IND,1953,2.7316651
India,IND,1954,2.5590744
India,IND,1955,2.4893606
India,IND,1956,2.6928139
India,IND,1957,3.268834
India,IND,1958,2.9198165
India,IND,1959,2.4383829
India,IND,1960,2.6007717
India,IND,1961,3.0048137
India,IND,1962,4.3589754
India,IND,1963,5.035775
India,IND,1964,6.164136
India,IND,1965,6.113477
India,IND,1966,4.906335
India,IND,1967,3.8500462
India,IND,1968,3.886529
India,IND,1969,3.71521
India,IND,1970,3.7086864
India,IND,1971,4.2680793
India,IND,1972,4.132083
India,IND,1973,3.7047074
India,IND,1974,3.2788732
India,IND,1975,3.4208343
India,IND,1976,3.481806
India,IND,1977,3.9544244
India,IND,1978,3.6735415
India,IND,1979,3.7989407
India,IND,1980,3.3165362
India,IND,1981,3.6990192
India,IND,1982,3.6461093
India,IND,1983,3.5428383
India,IND,1984,3.7373555
India,IND,1985,3.1939838
India,IND,1986,4.051127
India,IND,1987,4.187731
India,IND,1988,3.545937
India,IND,1989,3.0892913
India,IND,1990,3.2224708
India,IND,1991,2.3587923
India,IND,1992,2.5836747
India,IND,1993,2.2805533
India,IND,1994,2.1629066
India,IND,1995,2.2945626
India,IND,1996,2.5239797
India,IND,1997,2.2688887
India,IND,1998,2.6683717
India,IND,1999,2.2160745
India,IND,2000,2.214937
India,IND,2001,2.3577921
India,IND,2002,2.1667898
India,IND,2003,1.9901303
India,IND,2004,2.5812836
India,IND,2005,2.2398682
India,IND,2006,2.052403
India,IND,2007,2.2499363
India,IND,2008,2.4741483
India,IND,2009,2.8651583
India,IND,2010,2.1713166
India,IND,2011,2.126532
India,IND,2012,2.3766184
India,IND,2013,2.1750333
India,IND,2014,2.6041818
India,IND,2015,2.0887632
India,IND,2016,2.350384
India,IND,2017,2.4081852
India,IND,2018,2.5224817
India,IND,2019,2.558573
Japan,JPN,1860,0.121891
Japan,JPN,1861,0.119339526
Japan,JPN,1862,0.10188189
Japan,JPN,1863,0.109505534
Japan,JPN,1864,0.09198328
Japan,JPN,1865,0.07803891
Japan,JPN,1866,0.083455086
Japan,JPN,1867,0.0889067
Japan,JPN,1868,0.1105448
Japan,JPN,1869,0.078245826
Japan,JPN,1870,0.0725344
Japan,JPN,1871,0.09673147
Japan,JPN,1872,0.16437687
Japan,JPN,1873,0.23520878
Japan,JPN,1874,0.21467602
Japan,JPN,1875,0.25211546
Japan,JPN,1876,0.24063215
Japan,JPN,1877,0.21101113
Japan,JPN,1878,0.21806248
Japan,JPN,1879,0.19172454
Japan,JPN,1880,0.19833748
Japan,JPN,1881,0.19971319
Japan,JPN,1882,0.23132119
Japan,JPN,1883,0.22403479
Japan,JPN,1884,0.27384225
Japan,JPN,1885,0.26782477
Japan,JPN,1886,0.32572863
Japan,JPN,1887,0.31405392
Japan,JPN,1888,0.33980212
Japan,JPN,1889,0.37615496
Japan,JPN,1890,0.40290588
Japan,JPN,1891,0.33043844
Japan,JPN,1892,0.3755279
Japan,JPN,1893,0.367319
Japan,JPN,1894,0.71503913
Japan,JPN,1895,0.8904162
Japan,JPN,1896,0.8538899
Japan,JPN,1897,0.97201896
Japan,JPN,1898,1.0229118
Japan,JPN,1899,1.0455832
Japan,JPN,1900,1.0538694
Japan,JPN,1901,0.99493384
Japan,JPN,1902,1.1260352
Japan,JPN,1903,1.5487036
Japan,JPN,1904,3.2132227
Japan,JPN,1905,4.225906
Japan,JPN,1906,2.8256178
Japan,JPN,1907,1.6240925
Japan,JPN,1908,1.665033
Japan,JPN,1909,1.3567086
Japan,JPN,1910,1.1542207
Japan,JPN,1911,1.2134858
Japan,JPN,1912,0.9670423
Japan,JPN,1913,1.1468812
Japan,JPN,1914,0.9792355
Japan,JPN,1915,1.2185619
Japan,JPN,1916,1.3986443
Japan,JPN,1917,1.450478
Japan,JPN,1918,1.878765
Japan,JPN,1919,1.4766159
Japan,JPN,1920,1.5858889
Japan,JPN,1921,1.7396486
Japan,JPN,1922,1.3956038
Japan,JPN,1923,1.2313725
Japan,JPN,1924,0.96019125
Japan,JPN,1925,0.91463476
Japan,JPN,1926,0.89817625
Japan,JPN,1927,0.9805262
Japan,JPN,1928,0.9293849
Japan,JPN,1929,0.89345825
Japan,JPN,1930,0.93170536
Japan,JPN,1931,0.9553764
Japan,JPN,1932,1.0945332
Japan,JPN,1933,0.9532503
Japan,JPN,1934,1.2107779
Japan,JPN,1935,1.1958989
Japan,JPN,1936,1.5083296
Japan,JPN,1937,2.6413996
Japan,JPN,1938,3.787521
Japan,JPN,1939,5.1154995
Japan,JPN,1940,6.556927
Japan,JPN,1941,8.957711
Japan,JPN,1942,11.882463
Japan,JPN,1943,16.12292
Japan,JPN,1944,18.8214
Japan,JPN,1945,8.225044
Japan,JPN,1952,0.95917016
Japan,JPN,1953,0.8392201
Japan,JPN,1954,0.8194006
Japan,JPN,1955,0.64417714
Japan,JPN,1956,0.5851136
Japan,JPN,1957,0.58580244
Japan,JPN,1958,0.5630388
Japan,JPN,1959,0.442152
Japan,JPN,1960,0.3861382
Japan,JPN,1961,0.45659906
Japan,JPN,1962,0.4406163
Japan,JPN,1963,0.42925924
Japan,JPN,1964,0.4377572
Japan,JPN,1965,0.44002113
Japan,JPN,1966,0.45078933
Japan,JPN,1967,0.4901679
Japan,JPN,1968,0.4298944
Japan,JPN,1969,0.4338708
Japan,JPN,1970,0.4915346
Japan,JPN,1971,0.543065
Japan,JPN,1972,0.5683453
Japan,JPN,1973,0.5785136
Japan,JPN,1974,0.6598284
