STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,TYPE,Type of patent counting,TECH,Technological domain,PAT,Regional patent office,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,2017,,0.8721166,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,2018,,0.3636059,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,2019,,0.4170365,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,2020,,0.877726,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,2021,,0.8688751,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,2010,,1.128249,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DEV,Development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,_Z,Not applicable,2013,,6.376644,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DEV,Development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,_Z,Not applicable,2014,,6.320174,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DEV,Development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,_Z,Not applicable,2015,,8.430893,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DEV,Development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,_Z,Not applicable,2016,,5.844075,,A,Normal value,0,Units,2,Two
